rank,state_rank,district,state,state_code,headquarters,population,area_sq_km,density_per_sq_km,population_year,source,source_url
1,1,"North 24 Parganas","West Bengal","WB","Barasat",10082852,4094,2463,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
2,1,"Bangalore Urban","Karnataka","KA","Bangalore",9588910,2190,4378,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
3,1,"Pune","Maharashtra","MH","Pune",9426959,15643,603,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
4,2,"Mumbai Suburban","Maharashtra","MH","Bandra (East)",9332481,446,21000,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
5,2,"South 24 Parganas","West Bengal","WB","Alipore",8161961,9960,819,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
6,3,"Thane","Maharashtra","MH","Thane",8070032,4214,1915,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
7,1,"Ahmedabad","Gujarat","GJ","Ahmedabad",7208200,7170,890,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
8,1,"Chennai","Tamil Nadu","TN","Chennai",7139882,426,17000,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
9,3,"Murshidabad","West Bengal","WB","Baharampur",7102430,5324,1334,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
10,1,"Jaipur","Rajasthan","RJ","Jaipur",6626178,11143,595,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
11,4,"Nashik","Maharashtra","MH","Nashik",6109052,15539,393,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
12,2,"Surat","Gujarat","GJ","Surat",6081322,4418,953,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
13,1,"Prayagraj","Uttar Pradesh","UP","Prayagraj",5959798,5481,1087,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
14,1,"Patna","Bihar","BR","Patna",5772804,3202,1803,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
15,4,"Hooghly","West Bengal","WB","Chinsurah",5520389,3149,1753,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
16,5,"Nadia","West Bengal","WB","Krishnanagar",5168488,3927,1316,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
17,6,"Purba Medinipur","West Bengal","WB","Tamluk",5095875,4736,1076,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
18,2,"East Champaran","Bihar","BR","Motihari",5082868,3969,1281,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
19,7,"Howrah","West Bengal","WB","Howrah",4841638,1467,3300,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
20,8,"Purba Bardhaman","West Bengal","WB","Bardhaman",4835532,5433,890,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
21,3,"Muzaffarpur","Bihar","BR","Muzaffarpur",4778610,3173,1506,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
22,2,"Belagavi","Karnataka","KA","Belgaum",4778439,13415,356,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
23,9,"Paschim Medinipur","West Bengal","WB","Midnapore",4776909,6308,757,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
24,2,"Moradabad","Uttar Pradesh","UP","Moradabad",4773138,3718,1284,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
25,3,"Ghaziabad","Uttar Pradesh","UP","Ghaziabad",4661452,1175,3967,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
26,5,"Nagpur","Maharashtra","MH","Nagpur",4653171,9892,470,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
27,4,"Azamgarh","Uttar Pradesh","UP","Azamgarh",4616509,4053,1139,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
28,5,"Lucknow","Uttar Pradesh","UP","Lucknow",4588455,2528,1815,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
29,6,"Kanpur Nagar","Uttar Pradesh","UP","Kanpur",4572951,3156,1415,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
30,6,"Ahmednagar","Maharashtra","MH","Ahmednagar",4543083,17048,266,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
31,10,"Kolkata","West Bengal","WB","Kolkata",4486679,206,24252,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
32,7,"Jaunpur","Uttar Pradesh","UP","Jaunpur",4476072,4038,1108,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
33,4,"Madhubani","Bihar","BR","Madhubani",4476044,3501,1279,2011,"Wikipedia (Census of India 2011)","https://en.wikipedia.org/wiki/List_of_districts_in_India"
